Label	Tweet
1	@AkbankDestek iptal ettirdiğim kredi kartına gelen 166 TL yi aidatı  ödemek istemiyorum yardım istiyorum
1	@Akbank Faiz Allah'a karşı savaş açmaktır,kazanamazsınız...
1	Hırsız @Akbank @AvivaSAEH  dolandırıcı ikili
1	HIRSIZ @akbank  @AvivaSAEH
1	@Akbank Gerek yok enpara k.kartı çıkarırız onda da aidat yok üstüne bize aidat ödüyor
1	@Saldirayabi34 @ProfDemirtas @Akbank Akbank perpa şubesindeki hesaplarımız sahte sözleşmeler oluşturularak boşaltıldı.Akbank ın Cumhuriyet Savcısına yalan beyanda bulunduğunun Mahkeme tarafından yazılan yazı ile belgelenmesi... Akbank yönetimi bu sahteciliğin arkasında durdu,furmayada devam ediyor@a
1	@BaltaBanu @ProfDemirtas @Akbank Bu belgeler nedir ?
1	@ProfDemirtas @ist_eco Akbank da ki hesaplarımız bu sahte sözleşmelerle boşaltıldı.İmzalar ve kaşe birbirinin aynı.Sahtecilik bu kadar açık iken Akbank tüm birimleri ile bu sahteciliğin arkasında duruyor.Hesaplardan paraların Gitmesi bu kadar kolay@akbank 
1	@Akbank Sizin kart üyelik ücretini neden geri iade etmiyonuz
0	RT @Akbank: Hazır Limitli ve Gelir Belgesiz kredi kartı Akbank'ta! 👀 
1	@Akbank Benim kart üyelik ücretinin ödenmesi talebine cevap bekliyim
1	Ak bank kükredi kartı kullandığım için benden 122 lira kart üyelik ücreti kesti geri iade etmesini istiyorum bu yasal degil
1	@AxessCard Ve bankaya gittiğimde Gold kartında geldiğini öğrendim daha sonra müşteri hizmetleri temsilciniz aradım hazıran ayındaki 400 lira chip para kampanyasından yararlanabiliyorsak kartı alayım dedim onlarda yararlanamayacağı mı söylediler Sizce bu haksızlık değil mi benim suçum ne
1	@ProfDemirtas •Resmi belgede sahtecilik •Nitelikli zimmet •Suç unsuru elde edilen paranın aklanması •Rüşvet •Cumhuriyet Savcılığına,Mali şubeye yazılı yalan beyan •Cumhuriyet Savcılığından ve Mahkemeden delil gizlemek •Suçları örtbas etmek suçluları korumak •Yargıya müdahale @akbank 
1	RT @ilkimtiryaki: 2001 senesinden beri vadeli ve vadesiz hesaplari olan bir musterinize 124tl kart bedeli yansitan iade etmeyen, yahu bu kadar mi musteriniz degersiz dedigimde baska bankayla calisabilirsiniz diyen rezil banka @Akbank @AkbankDestek @akbankdirekt
1	@ProfDemirtas Akbank da ki hesaplarımız bu sahte sözleşmelerle boşaltıldı.İmzalar ve kaşe birbirinin aynı.Sahtecilik bu kadar açık iken Akbank tüm birimleri ile bu sahteciliğin arkasında duruyor.Hesaplardan paraların Gitmesi bu kadar kolay mı? 
0	RT @AkbankSanat: İngiltere müzik sahnesinin yıldız isimlerinden Grammy ve Altın Küre ödüllü Jamie Cullum,  28. Akbank Caz Festivali kapsamında 23 Ekim Salı akşamı Volkswagen Arena sahnesine konuk oluyor. 
1	@AkbankDestek Daha ne kadar inceleyeceksiniz? Hatalarınızı sürdürmekte daha ne kadar ısrarcı olacaksınız? #Akbank #amatör
1	@ilkimtiryaki @Akbank @AkbankDestek @akbankdirekt 136 tl üyelik ücretini yansıtmışlar kartı kapatın diyince cingen pazarlıgı yapar gibi ilk 30 tl ikinci 50 tl chip puan yükleyelim diye dalga geçer gibi iş yapıyorlar.
1	@ilkimtiryaki @Akbank @AkbankDestek @akbankdirekt Ben öyle yaptım. Kapattım kredi kartımı. İçindede 11 tl puan var harcamayacam onu hamam parası olsun akbank a.
